model,metric,ci_low,ci_high
direct,accuracy,0.9726890756302521,0.9873949579831933
direct,balanced_accuracy,0.9687507243231516,0.9856511559320374
direct,macro_f1,0.9703802911038224,0.9862732299127224
direct,macro_auc_ovr,0.9987180299936257,0.9996161445307264
direct,ece,0.004591721843222621,0.014045789215169366
direct,brier,0.01842470146774136,0.03746820038271663
direct,nll,0.033231443705635536,0.06315529126629245
hierarchical,accuracy,0.9761904761904762,0.9894957983193278
hierarchical,balanced_accuracy,0.9729723532292268,0.988772823384217
hierarchical,macro_f1,0.9744438892121464,0.9890007952481429
hierarchical,macro_auc_ovr,0.9982462728149099,0.9995265177715716
hierarchical,ece,0.005285048624693774,0.014487125757808417
hierarchical,brier,0.018224799800341845,0.03755654981708266
hierarchical,nll,0.03442722571774919,0.06696866462757106
